human_gene_id	human_gene_name	rabbit_align_seq	rabbit_align_start	rabbit_align_end	rabbit_align_strand	rabbit_align_length
ENSG00000079263	SP140	7	172092519	172092656	1	138
ENSG00000079263	SP140	7	172124712	172124793	1	82
ENSG00000079263	SP140	7	172124759	172124793	1	35
ENSG00000079263	SP140	7	172151655	172151780	1	126
ENSG00000079263	SP140	7	172151655	172151780	1	126
ENSG00000079263	SP140	7	172151655	172151780	1	126
ENSG00000079263	SP140	7	172151655	172151780	1	126
ENSG00000079263	SP140	7	172195710	172196013	1	304
ENSG00000204128	C2orf72	7	172603561	172605046	1	1486
ENSG00000204128	C2orf72	7	172605047	172605408	1	362
ENSG00000204128	C2orf72	7	172605963	172606463	1	501
ENSG00000182600	SNORC	GL018736	431185	433479	1	2295
ENSG00000182600	SNORC	GL018736	434857	434937	1	81
ENSG00000182600	SNORC	GL018736	431185	432927	1	1743
ENSG00000182600	SNORC	GL018736	431185	432923	1	1739
ENSG00000182600	SNORC	GL018736	431185	432942	1	1758
ENSG00000182600	SNORC	GL018736	431185	432942	1	1758
ENSG00000182600	SNORC	GL018736	431185	432923	1	1739
ENSG00000182600	SNORC	GL018736	443838	443960	1	123
ENSG00000182600	SNORC	GL018736	449573	450323	1	751
ENSG00000142327	RNPEPL1	GL019745	54	249	1	196
ENSG00000142327	RNPEPL1	GL019745	683	1483	1	801
ENSG00000142327	RNPEPL1	GL019745	1484	1752	1	269
ENSG00000142327	RNPEPL1	GL019745	683	1483	1	801
ENSG00000142327	RNPEPL1	GL019745	1484	1549	1	66
ENSG00000178623	GPR35	7	172487308	172487659	-1	352
ENSG00000178623	GPR35	7	172486837	172487233	-1	397
ENSG00000178623	GPR35	7	172487308	172487659	-1	352
ENSG00000178623	GPR35	7	172486837	172487233	-1	397
ENSG00000178623	GPR35	7	172487308	172487659	-1	352
ENSG00000178623	GPR35	7	172486837	172487233	-1	397
ENSG00000178623	GPR35	7	172487308	172487659	-1	352
ENSG00000178623	GPR35	7	172486837	172487233	-1	397
ENSG00000178623	GPR35	7	172487308	172487659	-1	352
ENSG00000178623	GPR35	7	172486837	172487233	-1	397
ENSG00000115694	STK25	GL018993	277943	278538	1	596
ENSG00000115694	STK25	GL018993	277943	278027	1	85
ENSG00000115694	STK25	GL018993	277359	277886	1	528
ENSG00000115694	STK25	GL018993	277927	278922	1	996
ENSG00000115694	STK25	GL018993	278923	279095	1	173
ENSG00000115694	STK25	GL018993	278225	278537	1	313
ENSG00000115694	STK25	GL018993	278431	278922	1	492
ENSG00000115694	STK25	GL018993	278923	279095	1	173
ENSG00000115694	STK25	GL018993	278431	278922	1	492
ENSG00000115694	STK25	GL018993	278923	279095	1	173
ENSG00000115694	STK25	GL018993	278636	278922	1	287
ENSG00000115694	STK25	GL018993	278923	279095	1	173
ENSG00000115694	STK25	GL018993	278638	278922	1	285
ENSG00000115694	STK25	GL018993	278923	279095	1	173
ENSG00000115694	STK25	GL018993	278641	278922	1	282
ENSG00000115694	STK25	GL018993	278923	279095	1	173
ENSG00000115694	STK25	GL018993	278807	278922	1	116
ENSG00000115694	STK25	GL018993	278923	279095	1	173
ENSG00000115694	STK25	GL018993	279383	279521	1	139
ENSG00000115694	STK25	GL018993	281550	281591	1	42
ENSG00000153086	ACMSD	7	72199144	72199375	1	232
ENSG00000153086	ACMSD	7	72199144	72199375	1	232
ENSG00000076003	MCM6	7	73381109	73381334	1	226
ENSG00000076003	MCM6	7	73384892	73385505	1	614
ENSG00000123838	C4BPA	16	65272298	65272714	-1	417
ENSG00000123838	C4BPA	16	65291346	65291373	-1	28
ENSG00000162892	IL24	16	65478751	65479186	-1	436
ENSG00000162892	IL24	16	65478517	65479186	-1	670
ENSG00000162892	IL24	16	65478517	65479186	-1	670
ENSG00000162892	IL24	16	65478517	65479186	-1	670
ENSG00000162892	IL24	16	65480316	65480376	-1	61
ENSG00000162892	IL24	16	65478517	65478910	-1	394
ENSG00000162892	IL24	16	65478208	65478514	-1	307
ENSG00000115649	CNPPD1	7	160425581	160426836	1	1256
ENSG00000115649	CNPPD1	7	160425862	160426836	1	975
ENSG00000115649	CNPPD1	7	160426599	160426836	1	238
ENSG00000115649	CNPPD1	7	160426759	160426836	1	78
ENSG00000115649	CNPPD1	7	160435049	160435156	1	108
ENSG00000115649	CNPPD1	7	160433819	160433900	1	82
ENSG00000146205	ANO7	GL018993	64309	64359	1	51
ENSG00000146205	ANO7	GL018993	63752	63814	1	63
ENSG00000146205	ANO7	GL018993	63972	64014	1	43
ENSG00000144504	ANKMY1	GL019745	54	249	1	196
ENSG00000144504	ANKMY1	GL019745	683	1483	1	801
ENSG00000144504	ANKMY1	GL019745	1484	1752	1	269
ENSG00000063660	GPC1	8	96313107	96313158	1	52
ENSG00000063660	GPC1	8	96313107	96313158	1	52
ENSG00000063660	GPC1	8	95724962	95725255	1	294
ENSG00000063660	GPC1	8	95724962	95725334	1	373
ENSG00000063660	GPC1	8	96313107	96313158	1	52
ENSG00000204104	TRAF3IP1	GL019249	56515	56700	-1	186
ENSG00000204104	TRAF3IP1	GL019249	55668	55710	-1	43
ENSG00000204104	TRAF3IP1	GL019249	55407	55475	-1	69
ENSG00000204104	TRAF3IP1	GL019249	56515	56700	-1	186
ENSG00000204104	TRAF3IP1	GL019249	55668	55710	-1	43
ENSG00000204104	TRAF3IP1	GL019249	55337	55475	-1	139
ENSG00000177673	TEX44	7	173041494	173042051	1	558
ENSG00000177673	TEX44	7	173042052	173042803	1	752
ENSG00000144119	C1QL2	7	63755785	63756569	-1	785
ENSG00000135973	GPR45	2	87096402	87098115	-1	1714
ENSG00000112208	BAG2	12	47121877	47124189	1	2313
ENSG00000112208	BAG2	12	47124786	47124998	1	213
ENSG00000112208	BAG2	12	47127575	47129394	1	1820
ENSG00000112208	BAG2	12	47129395	47130399	1	1005
ENSG00000112208	BAG2	12	47127696	47129394	1	1699
ENSG00000112208	BAG2	12	47129395	47131149	1	1755
ENSG00000112208	BAG2	12	47129395	47131149	1	1755
ENSG00000178586	OR6B3	GL018945	98432	99484	-1	1053
ENSG00000178586	OR6B3	GL018945	98497	99484	-1	988
ENSG00000182083	OR6B2	GL018945	111151	112413	-1	1263
ENSG00000184945	AQP12A	GL019864	3405	3684	1	280
ENSG00000184945	AQP12A	GL019864	3405	3688	1	284
ENSG00000185176	AQP12B	GL019864	3405	3688	-1	284
ENSG00000185176	AQP12B	GL019864	3405	3684	-1	280
ENSG00000188542	DUSP28	8	39076228	39076244	-1	17
ENSG00000188542	DUSP28	8	39074034	39074082	-1	49
ENSG00000188542	DUSP28	8	39108712	39108754	-1	43
ENSG00000188542	DUSP28	8	39107475	39107560	-1	86
ENSG00000188542	DUSP28	8	39106766	39106874	-1	109
ENSG00000188542	DUSP28	8	39105119	39105186	-1	68
ENSG00000188542	DUSP28	8	39104220	39104317	-1	98
ENSG00000162804	SNED1	GL019604	6289	7753	-1	1465
ENSG00000162804	SNED1	GL019604	4947	6224	-1	1278
ENSG00000162804	SNED1	GL019604	24070	24315	-1	246
ENSG00000162804	SNED1	GL019604	6289	7753	-1	1465
ENSG00000162804	SNED1	GL019604	4952	6224	-1	1273
ENSG00000162804	SNED1	GL019604	31853	31903	-1	51
ENSG00000162804	SNED1	GL019604	13139	13208	-1	70
ENSG00000162804	SNED1	GL019604	12936	13226	-1	291
ENSG00000162804	SNED1	GL019604	11575	12231	-1	657
ENSG00000162804	SNED1	GL019604	5821	5830	-1	10
ENSG00000170500	LONRF2	2	91934481	91934739	-1	259
ENSG00000170500	LONRF2	2	91934225	91934480	-1	256
ENSG00000170500	LONRF2	2	91932883	91934126	-1	1244
ENSG00000170500	LONRF2	2	91923599	91924657	-1	1059
ENSG00000170500	LONRF2	2	91922183	91922348	-1	166
ENSG00000175874	CREG2	2	91045548	91045831	-1	284
ENSG00000175874	CREG2	2	91043760	91045547	-1	1788
ENSG00000175874	CREG2	2	91041221	91043755	-1	2535
ENSG00000188760	TMEM198	7	160730663	160732372	1	1710
ENSG00000188760	TMEM198	7	160740711	160741550	1	840
ENSG00000188760	TMEM198	7	160738799	160738874	1	76
ENSG00000188760	TMEM198	7	160739291	160739360	1	70
ENSG00000188760	TMEM198	7	160740711	160741566	1	856
ENSG00000188760	TMEM198	7	160738799	160738842	1	44
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282931	1	243
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282926	1	238
ENSG00000167165	UGT1A6	GL018736	1279848	1280165	1	318
ENSG00000167165	UGT1A6	GL018736	1280499	1280571	1	73
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1158101	1159316	1	1216
ENSG00000167165	UGT1A6	GL018736	1282228	1282629	1	402
ENSG00000167165	UGT1A6	GL018736	1174677	1175244	1	568
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1279848	1280165	1	318
ENSG00000167165	UGT1A6	GL018736	1280499	1280660	1	162
ENSG00000167165	UGT1A6	GL018736	1280826	1281160	1	335
ENSG00000144485	HES6	GL018969	267331	267911	1	581
ENSG00000144485	HES6	GL018969	267334	267911	1	578
ENSG00000144485	HES6	GL018969	267340	267911	1	572
ENSG00000144485	HES6	GL018969	267610	267911	1	302
ENSG00000144485	HES6	GL018969	267772	267911	1	140
ENSG00000144485	HES6	GL018969	267848	267911	1	64
ENSG00000172428	COPS9	GL018945	9662	9959	-1	298
ENSG00000172428	COPS9	GL018945	3575	3818	-1	244
ENSG00000172428	COPS9	GL018945	845	867	-1	23
ENSG00000182187	CRYGB	7	149031200	149031542	1	343
ENSG00000183684	ALYREF	1	150863873	150864079	-1	207
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282931	1	243
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282926	1	238
ENSG00000241119	UGT1A9	GL018736	1279848	1280165	1	318
ENSG00000241119	UGT1A9	GL018736	1280499	1280571	1	73
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282922	1	234
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282922	1	234
ENSG00000241119	UGT1A9	GL018736	1158101	1159316	1	1216
ENSG00000241119	UGT1A9	GL018736	1282228	1282629	1	402
ENSG00000241119	UGT1A9	GL018736	1174677	1175244	1	568
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282922	1	234
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282922	1	234
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282922	1	234
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282922	1	234
ENSG00000241119	UGT1A9	GL018736	1282228	1282659	1	432
ENSG00000241119	UGT1A9	GL018736	1282660	1282688	1	29
ENSG00000241119	UGT1A9	GL018736	1282689	1282922	1	234
ENSG00000241119	UGT1A9	GL018736	1279848	1280165	1	318
ENSG00000241119	UGT1A9	GL018736	1280499	1280660	1	162
ENSG00000241119	UGT1A9	GL018736	1280826	1281160	1	335
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282931	1	243
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282926	1	238
ENSG00000242366	UGT1A8	GL018736	1279848	1280165	1	318
ENSG00000242366	UGT1A8	GL018736	1280499	1280571	1	73
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282922	1	234
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282922	1	234
ENSG00000242366	UGT1A8	GL018736	1158101	1159316	1	1216
ENSG00000242366	UGT1A8	GL018736	1282228	1282629	1	402
ENSG00000242366	UGT1A8	GL018736	1174677	1175244	1	568
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282922	1	234
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282922	1	234
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282922	1	234
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282922	1	234
ENSG00000242366	UGT1A8	GL018736	1282228	1282659	1	432
ENSG00000242366	UGT1A8	GL018736	1282660	1282688	1	29
ENSG00000242366	UGT1A8	GL018736	1282689	1282922	1	234
ENSG00000242366	UGT1A8	GL018736	1279848	1280165	1	318
ENSG00000242366	UGT1A8	GL018736	1280499	1280660	1	162
ENSG00000242366	UGT1A8	GL018736	1280826	1281160	1	335
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282931	1	243
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282926	1	238
ENSG00000242515	UGT1A10	GL018736	1279848	1280165	1	318
ENSG00000242515	UGT1A10	GL018736	1280499	1280571	1	73
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282922	1	234
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282922	1	234
ENSG00000242515	UGT1A10	GL018736	1158101	1159316	1	1216
ENSG00000242515	UGT1A10	GL018736	1282228	1282629	1	402
ENSG00000242515	UGT1A10	GL018736	1174677	1175244	1	568
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282922	1	234
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282922	1	234
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282922	1	234
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282922	1	234
ENSG00000242515	UGT1A10	GL018736	1282228	1282659	1	432
ENSG00000242515	UGT1A10	GL018736	1282660	1282688	1	29
ENSG00000242515	UGT1A10	GL018736	1282689	1282922	1	234
ENSG00000242515	UGT1A10	GL018736	1279848	1280165	1	318
ENSG00000242515	UGT1A10	GL018736	1280499	1280660	1	162
ENSG00000242515	UGT1A10	GL018736	1280826	1281160	1	335
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282931	1	243
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282926	1	238
ENSG00000244122	UGT1A7	GL018736	1279848	1280165	1	318
ENSG00000244122	UGT1A7	GL018736	1280499	1280571	1	73
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282922	1	234
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282922	1	234
ENSG00000244122	UGT1A7	GL018736	1158101	1159316	1	1216
ENSG00000244122	UGT1A7	GL018736	1282228	1282629	1	402
ENSG00000244122	UGT1A7	GL018736	1174677	1175244	1	568
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282922	1	234
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282922	1	234
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282922	1	234
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282922	1	234
ENSG00000244122	UGT1A7	GL018736	1282228	1282659	1	432
ENSG00000244122	UGT1A7	GL018736	1282660	1282688	1	29
ENSG00000244122	UGT1A7	GL018736	1282689	1282922	1	234
ENSG00000244122	UGT1A7	GL018736	1279848	1280165	1	318
ENSG00000244122	UGT1A7	GL018736	1280499	1280660	1	162
ENSG00000244122	UGT1A7	GL018736	1280826	1281160	1	335
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282931	1	243
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282926	1	238
ENSG00000241635	UGT1A1	GL018736	1279848	1280165	1	318
ENSG00000241635	UGT1A1	GL018736	1280499	1280571	1	73
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282922	1	234
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282922	1	234
ENSG00000241635	UGT1A1	GL018736	1282228	1282629	1	402
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282922	1	234
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282922	1	234
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282922	1	234
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282922	1	234
ENSG00000241635	UGT1A1	GL018736	1282228	1282659	1	432
ENSG00000241635	UGT1A1	GL018736	1282660	1282688	1	29
ENSG00000241635	UGT1A1	GL018736	1282689	1282922	1	234
ENSG00000241635	UGT1A1	GL018736	1279848	1280165	1	318
ENSG00000241635	UGT1A1	GL018736	1280499	1280660	1	162
ENSG00000241635	UGT1A1	GL018736	1280826	1281160	1	335
ENSG00000171450	CDK5R2	7	160204190	160204817	1	628
ENSG00000171450	CDK5R2	7	160205415	160206625	1	1211
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282931	1	243
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282926	1	238
ENSG00000167165	UGT1A6	GL018736	1279848	1280165	1	318
ENSG00000167165	UGT1A6	GL018736	1280499	1280571	1	73
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1158101	1159316	1	1216
ENSG00000167165	UGT1A6	GL018736	1282228	1282629	1	402
ENSG00000167165	UGT1A6	GL018736	1174677	1175244	1	568
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
ENSG00000167165	UGT1A6	GL018736	1282228	1282659	1	432
ENSG00000167165	UGT1A6	GL018736	1282660	1282688	1	29
ENSG00000167165	UGT1A6	GL018736	1282689	1282922	1	234
