ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	strand	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	hsapiens_homolog_chromosome	hsapiens_homolog_chrom_start	hsapiens_homolog_chrom_end	hsapiens_homolog_orthology_type	hsapiens_homolog_orthology_confidence	hsapiens_homolog_perc_id	hsapiens_homolog_perc_id_r1	hsapiens_homolog_goc_score	hsapiens_homolog_wga_coverage
ENSMUSG00000033159	Cnppd1	1	75134554	75142711	-1	ENSG00000115649	CNPPD1	2	219171897	219178106	ortholog_one2one	1	85.0123	84.3902	100	100
ENSMUSG00000034107	Ano7	1	93373930	93404303	1	ENSG00000146205	ANO7	2	241188509	241225377	ortholog_one2one	1	82.1886	75.6699	100	100
ENSMUSG00000034159	Mab21l4	1	93151349	93160948	-1	ENSG00000172478	MAB21L4	2	240886048	240896889	ortholog_one2one	1	75.6637	76.5101	100	100
ENSMUSG00000034212	Ankmy1	1	92859803	92902906	-1	ENSG00000144504	ANKMY1	2	240479422	240569209	ortholog_one2one	1	66.1677	64.3689	100	96.05
ENSMUSG00000034220	Gpc1	1	92831645	92860779	1	ENSG00000063660	GPC1	2	240435663	240468076	ortholog_one2one	1	88.8689	88.7097	100	100
ENSMUSG00000034292	Traf3ip1	1	91494647	91529307	1	ENSG00000204104	TRAF3IP1	2	238320441	238400897	ortholog_one2one	1	78.4	70.9117	100	100
ENSMUSG00000036574	Tex44	1	86426329	86428052	1	ENSG00000177673	TEX44	2	231592864	231594276	ortholog_one2one	0	31.3208	42.0253	100	88.73
ENSMUSG00000036907	C1ql2	1	120340582	120343174	1	ENSG00000144119	C1QL2	2	119156243	119158751	ortholog_one2one	1	94.0767	94.0767	100	100
ENSMUSG00000041907	Gpr45	1	42952872	43035456	1	ENSG00000135973	GPR45	2	105241743	105243467	ortholog_one2one	1	88.7399	88.9785	100	100
ENSMUSG00000042215	Bag2	1	33745484	33757795	-1	ENSG00000112208	BAG2	6	57172326	57189833	ortholog_one2one	1	93.8095	93.3649	100	100
ENSMUSG00000042849	Olfr1414	1	92506366	92518661	-1	ENSG00000178586	OR6B3	2	240045077	240047027	ortholog_many2many	1	86.5385	81.571	100	100
ENSMUSG00000042849	Olfr1414	1	92506366	92518661	-1	ENSG00000182083	OR6B2	2	240028965	240030456	ortholog_many2many	1	86.859	86.859	100	NA
ENSMUSG00000044055	Otos	1	92644218	92648841	-1	ENSG00000178602	OTOS	2	240139026	240144562	ortholog_one2one	1	79.7753	79.7753	100	100
ENSMUSG00000045091	Aqp12	1	93006334	93012269	1	ENSG00000184945	AQP12A	2	240691851	240698483	ortholog_one2many	1	74.1379	70.0326	100	100
ENSMUSG00000045091	Aqp12	1	93006334	93012269	1	ENSG00000185176	AQP12B	2	240676418	240682906	ortholog_one2many	1	74.1379	70.0326	0	100
ENSMUSG00000045336	Hsfy2	1	56636044	56637435	-1	ENSG00000169953	HSFY2	Y	18731440	18773735	ortholog_one2many	0	45.6633	44.6384	0	50.81
ENSMUSG00000045336	Hsfy2	1	56636044	56637435	-1	ENSG00000172468	HSFY1	Y	18546671	18588963	ortholog_one2many	0	45.6633	44.6384	0	51.71
ENSMUSG00000047067	Dusp28	1	92906981	92908435	1	ENSG00000188542	DUSP28	2	240560054	240564014	ortholog_one2one	1	79.1411	73.2955	100	98.42
ENSMUSG00000047793	Sned1	1	93235841	93301065	1	ENSG00000162804	SNED1	2	240998618	241095568	ortholog_one2one	1	83.5353	82.9441	100	100
ENSMUSG00000048814	Lonrf2	1	38793645	38836711	-1	ENSG00000170500	LONRF2	2	100271875	100322501	ortholog_one2one	1	78.7645	54.1114	100	100
ENSMUSG00000050967	Creg2	1	39618406	39651474	-1	ENSG00000175874	CREG2	2	101345550	101387503	ortholog_one2one	1	83.6806	83.1034	100	100
ENSMUSG00000051703	Tmem198	1	75479532	75485705	1	ENSG00000188760	TMEM198	2	219543663	219550595	ortholog_one2one	1	97.7778	97.7778	100	100
ENSMUSG00000054545	Ugt1a6a	1	88134809	88218997	1	ENSG00000167165	UGT1A6	2	233691607	233773300	ortholog_one2many	1	79.661	79.5113	100	100
ENSMUSG00000067071	Hes6	1	91411483	91414038	-1	ENSG00000144485	HES6	2	238238267	238240662	ortholog_one2one	1	85.7143	85.7143	100	100
ENSMUSG00000073616	Cops9	1	92637145	92641985	-1	ENSG00000172428	COPS9	2	240126563	240136807	ortholog_one2one	0	96.4912	21.8254	100	85.01
ENSMUSG00000073658	Crygb	1	65080219	65082288	-1	ENSG00000182187	CRYGB	2	208142573	208146158	ortholog_one2one	1	82.8571	82.8571	100	100
ENSMUSG00000084989	Crocc2	1	93168725	93231072	1	ENSG00000226321	CROCC2	2	240906330	240993311	ortholog_one2one	1	63.4921	62.8399	100	99.71
ENSMUSG00000086727	4931428L18Rik	1	30997842	31222684	-1	ENSG00000183684	ALYREF	17	81887835	81891586	ortholog_one2many	0	68.8797	62.8788	0	NA
ENSMUSG00000089675	Ugt1a8	1	88087813	88219004	1	ENSG00000241119	UGT1A9	2	233671898	233773300	ortholog_many2many	1	77.7358	77.7358	100	78.26
ENSMUSG00000089675	Ugt1a8	1	88087813	88219004	1	ENSG00000242366	UGT1A8	2	233617645	233773310	ortholog_many2many	1	78.1132	78.1132	100	79.48
ENSMUSG00000089675	Ugt1a8	1	88087813	88219004	1	ENSG00000242515	UGT1A10	2	233636454	233773305	ortholog_many2many	1	77.5472	77.5472	100	100
ENSMUSG00000089675	Ugt1a8	1	88087813	88219004	1	ENSG00000244122	UGT1A7	2	233681938	233773299	ortholog_many2many	1	78.1132	78.1132	100	77.59
ENSMUSG00000089960	Ugt1a1	1	88211959	88218997	1	ENSG00000241635	UGT1A1	2	233760270	233773300	ortholog_one2one	1	78.3178	78.6116	100	100
ENSMUSG00000090071	Cdk5r2	1	74854934	74857732	1	ENSG00000171450	CDK5R2	2	218959666	218962155	ortholog_one2one	1	95.1219	95.6403	100	100
ENSMUSG00000090124	Ugt1a7c	1	88095062	88220002	1	ENSG00000167165	UGT1A6	2	233691607	233773300	ortholog_one2many	1	79.661	79.5113	100	100
ENSMUSG00000090145	Ugt1a6b	1	88103252	88219003	1	ENSG00000167165	UGT1A6	2	233691607	233773300	ortholog_one2many	1	78.7194	78.5714	100	77.19
ENSMUSG00000090165	Ugt1a10	1	88055388	88219004	1	ENSG00000241119	UGT1A9	2	233671898	233773300	ortholog_many2many	1	78.6792	78.6792	100	77.29
ENSMUSG00000090165	Ugt1a10	1	88055388	88219004	1	ENSG00000242366	UGT1A8	2	233617645	233773310	ortholog_many2many	1	78.8679	78.8679	100	77.77
ENSMUSG00000090165	Ugt1a10	1	88055388	88219004	1	ENSG00000242515	UGT1A10	2	233636454	233773305	ortholog_many2many	1	78.3019	78.3019	100	77.77
ENSMUSG00000090165	Ugt1a10	1	88055388	88219004	1	ENSG00000244122	UGT1A7	2	233681938	233773299	ortholog_many2many	1	79.0566	79.0566	100	76.72
ENSMUSG00000090175	Ugt1a9	1	88070800	88218997	1	ENSG00000241119	UGT1A9	2	233671898	233773300	ortholog_many2many	1	79.1667	78.8679	100	77.75
ENSMUSG00000090175	Ugt1a9	1	88070800	88218997	1	ENSG00000242366	UGT1A8	2	233617645	233773310	ortholog_many2many	1	79.5455	79.2453	100	100
ENSMUSG00000090175	Ugt1a9	1	88070800	88218997	1	ENSG00000242515	UGT1A10	2	233636454	233773305	ortholog_many2many	1	78.7879	78.4906	100	100
ENSMUSG00000090175	Ugt1a9	1	88070800	88218997	1	ENSG00000244122	UGT1A7	2	233681938	233773299	ortholog_many2many	1	79.5455	79.2453	100	77.16
ENSMUSG00000091844	Gm8251	1	44055872	44079746	-1	ENSG00000175820	CCDC168	13	102729367	102759072	ortholog_one2one	0	34.1275	31.7611	100	98.4
ENSMUSG00000101303	B020011L13Rik	1	117781133	117803359	1	ENSG00000196456	ZNF775	7	150368790	150398630	ortholog_one2many	0	34.466	26.4432	0	NA
ENSMUSG00000004707	Ly9	1	171588624	171607410	-1	ENSG00000122224	LY9	1	160796074	160828261	ortholog_one2one	1	55.5046	55.4198	75	100
ENSMUSG00000006469	Slc34a3	2	25228898	25234364	-1	ENSG00000198569	SLC34A3	9	137230757	137236555	ortholog_one2one	1	79.5341	79.7997	100	100
ENSMUSG00000006471	Ndor1	2	25244821	25256022	-1	ENSG00000188566	NDOR1	9	137205685	137217009	ortholog_one2many	1	81.6054	80.5281	100	100
ENSMUSG00000008475	Arpc5	1	152766542	152775597	1	ENSG00000162704	ARPC5	1	183620846	183635783	ortholog_one2one	1	98.6755	96.7533	75	100
ENSMUSG00000013465	Nelfb	2	25199712	25211489	-1	ENSG00000188986	NELFB	9	137255327	137273542	ortholog_one2one	1	93.1854	93.6306	100	100
ENSMUSG00000015083	C8g	2	25498651	25501719	-1	ENSG00000176919	C8G	9	136945185	136946975	ortholog_one2one	1	73.7624	73.7624	100	100
ENSMUSG00000015085	Entpd2	2	25395874	25401321	1	ENSG00000054179	ENTPD2	9	137048107	137054061	ortholog_one2one	1	83.4343	83.4343	100	100
ENSMUSG00000015087	Rabl6	2	25583018	25608521	-1	ENSG00000196642	RABL6	9	136807943	136841187	ortholog_one2one	1	79.0345	78.4931	100	100
ENSMUSG00000015090	Ptgds	2	25466709	25470046	-1	ENSG00000284341	AL807752.7	9	136977518	136985435	ortholog_one2many	1	72.4868	72.1053	75	100
ENSMUSG00000015090	Ptgds	2	25466709	25470046	-1	ENSG00000107317	PTGDS	9	136975092	136981742	ortholog_one2many	1	72.4868	72.1053	75	100
ENSMUSG00000015092	Edf1	2	25557847	25562082	1	ENSG00000107223	EDF1	9	136862119	136866308	ortholog_one2one	1	98.6487	98.6487	100	100
ENSMUSG00000015093	Clic3	2	25456838	25458776	1	ENSG00000169583	CLIC3	9	136994608	136996568	ortholog_one2one	1	90.7173	91.1017	100	100
ENSMUSG00000015094	Npdc1	2	25399351	25409494	1	ENSG00000107281	NPDC1	9	137039463	137046179	ortholog_one2one	1	74.0964	75.6923	100	100
ENSMUSG00000015095	Fbxw5	2	25500750	25505471	1	ENSG00000159069	FBXW5	9	136940435	136944738	ortholog_one2one	1	88.8307	89.9293	100	100
ENSMUSG00000016262	Sertad4	1	192844488	192855756	-1	ENSG00000082497	SERTAD4	1	210232796	210246631	ortholog_one2one	1	76.6578	81.1798	100	100
ENSMUSG00000023094	Msrb2	2	19371440	19394976	1	ENSG00000148450	MSRB2	10	23095579	23122013	ortholog_one2one	1	78.2857	75.2747	100	100
ENSMUSG00000026471	Mr1	1	155127277	155146814	-1	ENSG00000153029	MR1	1	181033425	181061938	ortholog_one2one	1	75.6598	75.6598	100	100
ENSMUSG00000026475	Rgs16	1	153740349	153745468	1	ENSG00000143333	RGS16	1	182598623	182604389	ortholog_one2one	1	85.0746	84.6535	100	100
ENSMUSG00000026479	Lamc2	1	153122756	153186447	-1	ENSG00000058085	LAMC2	1	183186238	183245127	ortholog_one2one	1	84.4929	84.4929	100	100
ENSMUSG00000026482	Rgl1	1	152516760	152766351	-1	ENSG00000143344	RGL1	1	183636085	183928531	ortholog_one2one	1	94.401	90.2864	100	100
ENSMUSG00000026536	Ifi211	1	173896345	173913046	-1	ENSG00000163563	MNDA	1	158831351	158849506	ortholog_one2many	0	41.6471	43.4889	100	0.91
ENSMUSG00000026605	Cenpf	1	189640606	189688086	-1	ENSG00000117724	CENPF	1	214603195	214664571	ortholog_one2one	1	66.5999	64.0976	100	98.88
ENSMUSG00000026630	Batf3	1	191097847	191108945	1	ENSG00000123685	BATF3	1	212686417	212699840	ortholog_one2one	1	84.7458	78.7402	100	100
ENSMUSG00000026675	Hsd17b7	1	169949535	169969241	-1	ENSG00000132196	HSD17B7	1	162790702	162812817	ortholog_one2one	1	75.1497	73.607	100	98.94
ENSMUSG00000026701	Prdx6	1	161240112	161251219	-1	ENSG00000117592	PRDX6	1	173477330	173488815	ortholog_one2many	1	89.7321	89.7321	75	100
ENSMUSG00000026735	Ptf1a	2	19445663	19447501	1	ENSG00000168267	PTF1A	10	23192312	23194245	ortholog_one2one	1	89.8148	88.7195	100	100
ENSMUSG00000026939	Tmem141	2	25620067	25622005	-1	ENSG00000244187	TMEM141	9	136791344	136793317	ortholog_one2one	1	78.7037	78.7037	100	100
ENSMUSG00000026941	Mamdc4	2	25563115	25574845	-1	ENSG00000177943	MAMDC4	9	136850943	136860799	ortholog_one2one	1	67.6136	73.263	100	100
ENSMUSG00000026942	Traf2	2	25517982	25546940	-1	ENSG00000127191	TRAF2	9	136881912	136926607	ortholog_one2one	1	85.6299	86.8263	100	100
ENSMUSG00000026943	Lcn12	2	25490845	25493911	-1	ENSG00000184925	LCN12	9	136949551	136955497	ortholog_one2one	1	54.9223	55.2083	100	100
ENSMUSG00000026944	Abca2	2	25428703	25448540	1	ENSG00000107331	ABCA2	9	137007234	137028922	ortholog_one2one	1	93.4238	93.3087	75	100
ENSMUSG00000026956	Uap1l1	2	25359889	25365682	-1	ENSG00000197355	UAP1L1	9	137077517	137084539	ortholog_one2one	1	82.4458	82.4458	50	100
ENSMUSG00000026958	Dpp7	2	25352276	25356359	-1	ENSG00000176978	DPP7	9	137110546	137115177	ortholog_one2one	1	76.6798	78.8618	0	99.51
ENSMUSG00000026959	Grin1	2	25291181	25319187	-1	ENSG00000176884	GRIN1	9	137139154	137168756	ortholog_one2one	1	95.4158	94.9099	50	100
ENSMUSG00000026961	Lrrc26	2	25289915	25291180	1	ENSG00000184709	LRRC26	9	137168758	137170051	ortholog_one2one	1	67.0695	66.4671	75	100
ENSMUSG00000026963	Tmem210	2	25288145	25289189	1	ENSG00000185863	TMEM210	9	137170858	137172409	ortholog_one2one	1	67.3469	67.3469	100	100
ENSMUSG00000026965	Anapc2	2	25272478	25285915	1	ENSG00000176248	ANAPC2	9	137174784	137188560	ortholog_one2one	1	92.5926	94.2822	100	100
ENSMUSG00000026966	Ssna1	2	25271039	25272438	-1	ENSG00000176101	SSNA1	9	137188660	137190370	ortholog_one2one	1	97.479	97.479	100	100
ENSMUSG00000026969	Fam166a	2	25218745	25222280	1	ENSG00000188163	FAM166A	9	137243584	137247770	ortholog_one2one	1	77.4295	77.918	100	100
ENSMUSG00000026983	Il1f5	2	24276954	24283426	1	ENSG00000136695	IL36RN	2	113058638	113065382	ortholog_one2one	1	90.3846	90.9677	100	100
ENSMUSG00000026985	Il1f8	2	24153161	24160519	1	ENSG00000136696	IL36B	2	113022089	113052867	ortholog_one2one	0	31.1475	34.7561	0	NA
ENSMUSG00000029419	Ajm1	2	25575416	25581757	-1	ENSG00000232434	AJM1	9	136844415	136848801	ortholog_one2one	1	86.4476	86.2705	100	100
ENSMUSG00000032649	Colgalt2	1	152399830	152510695	1	ENSG00000198756	COLGALT2	1	183929854	184037729	ortholog_one2one	1	92.48	92.3323	75	100
ENSMUSG00000036449	Lcn8	2	25653120	25656217	1	ENSG00000204001	LCN8	9	136754386	136758543	ortholog_one2one	1	60.5714	60.5714	100	100
ENSMUSG00000036504	Phpt1	2	25573430	25575224	-1	ENSG00000054148	PHPT1	9	136848724	136851027	ortholog_one2one	1	83.0645	82.4	100	100
ENSMUSG00000036587	Fut7	2	25423267	25426374	1	ENSG00000180549	FUT7	9	137030174	137032088	ortholog_one2one	1	69.6658	79.2398	100	100
ENSMUSG00000036646	Man1b1	2	25332338	25352212	1	ENSG00000177239	MAN1B1	9	137086985	137109183	ortholog_one2one	1	78.2675	73.6767	25	100
ENSMUSG00000036731	Cysrt1	2	25238818	25242452	-1	ENSG00000197191	CYSRT1	9	137224635	137226315	ortholog_one2one	1	76.7606	59.2391	100	100
ENSMUSG00000036752	Tubb4b	2	25222160	25224702	-1	ENSG00000188229	TUBB4B	9	137241287	137243707	ortholog_one2one	1	100	100	100	100
ENSMUSG00000036770	Stpg3	2	25212207	25214637	-1	ENSG00000197768	STPG3	9	137251261	137253483	ortholog_one2one	0	54.902	43.5233	100	100
ENSMUSG00000036805	Noxa1	2	25085667	25095149	-1	ENSG00000188747	NOXA1	9	137423350	137434406	ortholog_one2one	1	62.6126	57.5569	100	95.95
ENSMUSG00000037860	Aim2	1	173350879	173466040	1	ENSG00000163568	AIM2	1	159062484	159147096	ortholog_one2one	1	52.5424	54.2274	100	97.26
ENSMUSG00000037872	Ackr1	1	173331886	173333750	-1	ENSG00000213088	ACKR1	1	159203307	159206500	ortholog_one2one	1	57.7844	57.1006	100	100
ENSMUSG00000038936	Sccpdh	1	179668210	179687189	1	ENSG00000143653	SCCPDH	1	246724409	246768137	ortholog_one2one	1	87.1795	87.1795	75	100
ENSMUSG00000042349	Ikbke	1	131254343	131279606	-1	ENSG00000263528	IKBKE	1	206470476	206496889	ortholog_one2one	1	83.4031	83.5196	100	100
ENSMUSG00000042641	Rgsl1	1	153779381	153844142	-1	ENSG00000121446	RGSL1	1	182409192	182560599	ortholog_one2one	1	67.9404	67.7509	100	99.9
ENSMUSG00000042684	Npl	1	153503015	153550045	-1	ENSG00000135838	NPL	1	182789293	182830384	ortholog_one2one	1	85.3125	85.3125	100	100
ENSMUSG00000043415	Otud1	2	19657752	19660583	1	ENSG00000165312	OTUD1	10	23439458	23442390	ortholog_one2one	1	81.2775	76.7152	100	98.78
ENSMUSG00000044628	Rnf208	2	25242929	25244262	1	ENSG00000212864	RNF208	9	137220247	137221581	ortholog_one2one	1	93.2076	94.636	100	100
ENSMUSG00000045684	Lcn6	2	25676786	25681608	1	ENSG00000267206	LCN6	9	136744017	136748525	ortholog_one2many	1	65.7459	73.0061	75	100
ENSMUSG00000045684	Lcn6	2	25676786	25681608	1	ENSG00000204003	AL355987.1	9	136738167	136748453	ortholog_one2many	1	62.4309	73.8562	75	100
ENSMUSG00000046062	Ppp1r15b	1	133131143	133139783	1	ENSG00000158615	PPP1R15B	1	204403381	204411817	ortholog_one2one	1	69.1535	67.6017	100	100
ENSMUSG00000047356	Lcn10	2	25682726	25686081	1	ENSG00000187922	LCN10	9	136738167	136743356	ortholog_one2one	1	68.6813	62.5	50	100
ENSMUSG00000047617	Paxx	2	25455141	25461094	-1	ENSG00000148362	PAXX	9	136992422	136993984	ortholog_one2one	1	74.6341	75	100	100
ENSMUSG00000048174	Tmem81	1	132506230	132508639	1	ENSG00000174529	TMEM81	1	205083129	205084460	ortholog_one2one	1	70.6564	71.7647	100	100
ENSMUSG00000048707	Tprn	2	25262618	25269885	1	ENSG00000176058	TPRN	9	137191617	137204193	ortholog_one2one	1	67.6903	71.308	100	100
ENSMUSG00000051985	Igfn1	1	135953578	136006342	-1	ENSG00000163395	IGFN1	1	201190824	201228952	ortholog_one2one	0	56.9674	43.7702	100	100
ENSMUSG00000052759	Gpr25	1	136259797	136260873	-1	ENSG00000170128	GPR25	1	200872981	200874178	ortholog_one2one	1	75.419	74.7922	100	100
ENSMUSG00000054203	Ifi205	1	174011998	174031810	-1	ENSG00000163563	MNDA	1	158831351	158849506	ortholog_one2many	0	43.8119	43.4889	100	100
ENSMUSG00000055547	Apobec4	1	152750551	152757544	1	ENSG00000173627	APOBEC4	1	183646275	183653316	ortholog_one2one	1	60.6952	61.8529	100	100
ENSMUSG00000056708	Ier5	1	155096361	155099636	-1	ENSG00000162783	IER5	1	181088700	181092900	ortholog_one2one	1	76.9481	72.4771	100	100
ENSMUSG00000057037	Cfhr1	1	139547053	139560272	-1	ENSG00000244414	CFHR1	1	196819757	196832189	ortholog_one2many	1	56.8513	59.0909	100	67.56
ENSMUSG00000057037	Cfhr1	1	139547053	139560272	-1	ENSG00000080910	CFHR2	1	196943738	196959622	ortholog_one2many	0	49.2711	62.5926	100	92.54
ENSMUSG00000059555	Tor4a	2	25192966	25196886	-1	ENSG00000198113	TOR4A	9	137277726	137282641	ortholog_one2one	1	77.4648	78.0142	100	100
ENSMUSG00000060244	Alyref2	1	171503478	171504750	1	ENSG00000183684	ALYREF	17	81887835	81891586	ortholog_one2many	0	90.8257	75	0	NA
ENSMUSG00000062061	Obp2a	2	25700043	25703326	1	ENSG00000171102	OBP2B	9	133205277	133209250	ortholog_many2many	0	39.7727	41.1765	0	100
ENSMUSG00000062061	Obp2a	2	25700043	25703326	1	ENSG00000122136	OBP2A	9	135546139	135549969	ortholog_many2many	0	31.8182	24.5614	50	100
ENSMUSG00000066797	Zfp648	1	154201187	154205689	1	ENSG00000179930	ZNF648	1	182054570	182061712	ortholog_one2one	1	69.1429	63.9085	100	100
ENSMUSG00000073489	Ifi204	1	173747293	173766943	-1	ENSG00000163563	MNDA	1	158831351	158849506	ortholog_one2many	0	28.433	43.2432	100	1.14
ENSMUSG00000073494	Sh2d1b2	1	170232749	170253608	1	ENSG00000198574	SH2D1B	1	162395268	162412138	ortholog_one2many	1	65.1515	65.1515	100	18.39
ENSMUSG00000078185	Chml	1	175682237	175692901	-1	ENSG00000203668	CHML	1	241628853	241640254	ortholog_one2one	1	79.7101	75.4573	100	100
ENSMUSG00000078201	Tmem203	2	25255439	25256292	1	ENSG00000187713	TMEM203	9	137204082	137205648	ortholog_one2one	1	97.7941	97.7941	100	100
ENSMUSG00000078202	Nrarp	2	25180758	25183339	1	ENSG00000198435	NRARP	9	137299631	137302271	ortholog_one2one	1	100	100	100	100
ENSMUSG00000079164	Tlr5	1	182954788	182976044	1	ENSG00000187554	TLR5	1	223109404	223143248	ortholog_one2one	1	71.2486	72.4942	100	100
ENSMUSG00000079283	2310009B15Rik	1	138851983	138856852	-1	ENSG00000203724	C1orf53	1	197902630	197907367	ortholog_one2one	1	66.1765	62.069	100	100
ENSMUSG00000089953	Rnf224	2	25234476	25236787	-1	ENSG00000233198	RNF224	9	137227271	137229638	ortholog_one2one	1	68.5897	68.5897	100	100
ENSMUSG00000090272	Mndal	1	173849126	173880881	-1	ENSG00000163563	MNDA	1	158831351	158849506	ortholog_one2many	0	34.3866	45.4545	100	7.29
ENSMUSG00000090394	4930523C07Rik	1	160044382	160080208	1	ENSG00000235750	KIAA0040	1	175156986	175192999	ortholog_one2one	1	71.7172	71.7172	100	100
ENSMUSG00000097918	Ascl5	1	136050804	136051370	1	ENSG00000232237	ASCL5	1	201113953	201127184	ortholog_one2one	1	77.6596	70.8738	100	100
ENSMUSG00000098306	Gm28040	1	133309827	133329901	1	ENSG00000174567	GOLT1A	1	204198163	204213988	ortholog_one2many	1	85.7143	86.3636	50	100
ENSMUSG00000102418	Sh2d1b1	1	170277320	170286769	1	ENSG00000198574	SH2D1B	1	162395268	162412138	ortholog_one2many	1	64.3939	64.3939	100	100
ENSMUSG00000102752	Gm7694	1	170298199	170306332	-1	ENSG00000254706	AL512785.2	1	162365407	162383531	ortholog_one2one	1	51.8519	81.8713	75	100
ENSMUSG00000103421	Golt1a	1	133309800	133323026	1	ENSG00000174567	GOLT1A	1	204198163	204213988	ortholog_one2many	1	85.7143	86.3636	75	100
ENSMUSG00000002111	Spi1	2	91082390	91115756	1	ENSG00000066336	SPI1	11	47354860	47378576	ortholog_one2one	1	86.3971	86.7159	100	100
ENSMUSG00000009214	Mymk	2	27061636	27072179	-1	ENSG00000187616	MYMK	9	133514586	133528612	ortholog_one2one	1	88.6878	88.6878	100	100
ENSMUSG00000009555	Cdk9	2	32705784	32713076	-1	ENSG00000136807	CDK9	9	127785679	127790792	ortholog_one2one	1	98.6559	98.6559	100	100
ENSMUSG00000009621	Vav2	2	27262104	27427033	-1	ENSG00000160293	VAV2	9	133761894	133992604	ortholog_one2one	1	95.8525	94.7608	100	100
ENSMUSG00000014867	Surf4	2	26920040	26933928	-1	ENSG00000148248	SURF4	9	133361450	133376166	ortholog_one2one	1	99.2565	99.2565	100	100
